,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1319064,6/17/2017 10:41,6/17/2017 10:55,853,Fairbanks Ct & Grand Ave,Clinton St & Madison St,Subscriber,Male,1990
461905,4/6/2017 14:58,4/6/2017 15:04,342,Franklin St & Monroe St,Michigan Ave & Washington St,Subscriber,Male,1980
371076,3/20/2017 21:27,3/20/2017 21:39,698,Morgan St & Lake St,Larrabee St & Oak St,Subscriber,Male,1972
906322,5/21/2017 10:03,5/21/2017 10:18,862,McClurg Ct & Illinois St,McClurg Ct & Illinois St,Subscriber,Male,1990
141745,2/8/2017 7:13,2/8/2017 7:16,166,Pine Grove Ave & Irving Park Rd,Clarendon Ave & Gordon Ter,Subscriber,Male,1986
629006,4/22/2017 19:12,4/22/2017 19:15,196,Clark St & Wellington Ave,Halsted St & Diversey Pkwy,Subscriber,Male,1988
724597,5/4/2017 5:46,5/4/2017 6:07,1315,Clark St & Wrightwood Ave,Franklin St & Monroe St,Subscriber,Male,1966
157790,2/11/2017 15:11,2/11/2017 16:30,4710,McCormick Place,Wabash Ave & Wacker Pl,Customer,,
959864,5/26/2017 7:31,5/26/2017 7:38,457,Clinton St & Washington Blvd,State St & Kinzie St,Subscriber,Female,1967
702079,5/1/2017 8:35,5/1/2017 8:49,825,Sedgwick St & North Ave,Michigan Ave & Oak St,Subscriber,Male,1983
239793,2/22/2017 7:51,2/22/2017 8:00,510,Broadway & Barry Ave,Sedgwick St & Webster Ave,Subscriber,Male,1988
1526760,6/29/2017 13:50,6/29/2017 14:10,1157,Lake Shore Dr & Belmont Ave,Lake Shore Dr & North Blvd,Customer,,
697597,4/29/2017 9:46,4/29/2017 10:14,1717,Clark St & Lake St,Ashland Ave & Division St,Subscriber,Female,1986
265806,2/27/2017 7:20,2/27/2017 7:31,650,Clinton St & Washington Blvd,Dearborn St & Erie St,Subscriber,Male,1975
750957,5/7/2017 11:14,5/7/2017 11:20,388,McClurg Ct & Illinois St,Rush St & Superior St,Subscriber,Female,1987
1531732,6/29/2017 17:56,6/29/2017 18:00,230,Lakeview Ave & Fullerton Pkwy,Stockton Dr & Wrightwood Ave,Subscriber,Female,1993
1539175,6/30/2017 10:44,6/30/2017 11:11,1599,Millennium Park,Streeter Dr & Grand Ave,Customer,,
462221,4/6/2017 15:54,4/6/2017 16:00,312,McClurg Ct & Illinois St,State St & Randolph St,Subscriber,Female,1984
402097,3/26/2017 11:40,3/26/2017 11:47,415,McClurg Ct & Erie St,Field Blvd & South Water St,Subscriber,Male,1964
445106,4/3/2017 6:31,4/3/2017 6:43,733,Clinton St & Washington Blvd,Halsted St & Roosevelt Rd,Subscriber,Male,1966
1381495,6/21/2017 6:45,6/21/2017 6:49,243,Clark St & Berwyn Ave,Broadway & Berwyn Ave,Subscriber,Male,1984
739835,5/5/2017 17:49,5/5/2017 18:00,671,Clinton St & Lake St,Ogden Ave & Race Ave,Subscriber,Male,1991
468745,4/7/2017 13:38,4/7/2017 13:44,312,Southport Ave & Roscoe St,Wilton Ave & Belmont Ave,Subscriber,Male,1989
1341523,6/18/2017 16:17,6/18/2017 16:53,2205,Fairbanks Ct & Grand Ave,Adler Planetarium,Customer,,
165501,2/13/2017 14:54,2/13/2017 15:09,863,Wolcott Ave & Polk St,Clinton St & Washington Blvd,Subscriber,Male,1969
954416,5/25/2017 17:24,5/25/2017 17:31,383,Orleans St & Ohio St,Clinton St & Washington Blvd,Subscriber,Male,1981
527768,4/13/2017 17:37,4/13/2017 17:59,1322,Desplaines St & Kinzie St,Sangamon St & Washington Blvd (*),Subscriber,Female,1978
1156328,6/7/2017 13:59,6/7/2017 14:02,201,Sedgwick St & Huron St,Kingsbury St & Kinzie St,Subscriber,Male,1979
132254,2/6/2017 9:36,2/6/2017 9:52,957,Clark St & Leland Ave,Broadway & Ridge Ave,Subscriber,Female,1960
1140644,6/6/2017 15:05,6/6/2017 15:08,197,Halsted St & Willow St,Halsted St & Dickens Ave,Subscriber,Male,1984
887943,5/18/2017 16:39,5/18/2017 16:47,500,Franklin St & Chicago Ave,Franklin St & Lake St,Subscriber,Male,1965
1541842,6/30/2017 13:48,6/30/2017 14:13,1529,Clark St & Lincoln Ave,Clark St & Lake St,Customer,,
959137,5/26/2017 6:04,5/26/2017 6:08,253,Financial Pl & Congress Pkwy,Canal St & Monroe St (*),Subscriber,Male,1963
1243183,6/12/2017 9:43,6/12/2017 9:58,905,State St & Randolph St,Streeter Dr & Grand Ave,Subscriber,Female,1978
1462466,6/25/2017 15:09,6/25/2017 15:30,1282,Paulina St & 18th St,Damen Ave & Chicago Ave,Customer,,
1239988,6/12/2017 6:43,6/12/2017 6:50,392,Ogden Ave & Race Ave,Green St & Madison St,Subscriber,Male,1984
1383677,6/21/2017 8:22,6/21/2017 8:24,108,Wood St & Division St,Ashland Ave & Division St,Subscriber,Male,1990
364649,3/19/2017 22:39,3/19/2017 23:16,2201,Sheridan Rd & Montrose Ave,Clarendon Ave & Junior Ter,Subscriber,Female,1977
1104777,6/4/2017 12:14,6/4/2017 12:39,1512,Clark St & Armitage Ave,Lake Shore Dr & Diversey Pkwy,Subscriber,Female,1989
1128408,6/5/2017 17:39,6/5/2017 18:09,1831,Michigan Ave & Oak St,Clinton St & Roosevelt Rd,Subscriber,Female,1983
635646,4/23/2017 14:28,4/23/2017 15:00,1937,Dusable Harbor,Clark St & Schiller St,Customer,,
200941,2/18/2017 13:35,2/18/2017 14:13,2279,Hampden Ct & Diversey Pkwy,Milwaukee Ave & Wabansia Ave,Customer,,
620450,4/21/2017 19:13,4/21/2017 19:25,737,Aberdeen St & Monroe St,Carpenter St & Huron St,Subscriber,Male,1986
591507,4/18/2017 21:23,4/18/2017 21:50,1656,Sheffield Ave & Waveland Ave,Clark St & Elm St,Subscriber,Female,1989
763995,5/8/2017 17:29,5/8/2017 17:39,627,Franklin St & Jackson Blvd,Franklin St & Chicago Ave,Subscriber,Male,1975
1187636,6/9/2017 8:56,6/9/2017 8:59,172,Wells St & Concord Ln,Wells St & Evergreen Ave,Subscriber,Female,1986
80745,1/24/2017 10:51,1/24/2017 11:12,1208,Streeter Dr & Grand Ave,Canal St & Monroe St (*),Subscriber,Male,1985
760491,5/8/2017 12:00,5/8/2017 12:07,429,Clark St & Lake St,Dearborn St & Erie St,Subscriber,Male,1963
395735,3/24/2017 15:32,3/24/2017 15:52,1249,Sedgwick St & Webster Ave,Western Ave & Winnebago Ave,Subscriber,Female,1964
1063007,6/2/2017 5:52,6/2/2017 5:55,223,Columbus Dr & Randolph St,Wabash Ave & Adams St,Subscriber,Male,1979
1550326,6/30/2017 21:03,6/30/2017 21:27,1479,Streeter Dr & Grand Ave,Wacker Dr & Washington St,Customer,,
422563,3/29/2017 18:02,3/29/2017 18:09,390,State St & Van Buren St,Indiana Ave & Roosevelt Rd,Subscriber,Male,1963
442488,4/2/2017 14:39,4/2/2017 15:01,1330,Sheffield Ave & Webster Ave,Clinton St & Jackson Blvd,Subscriber,Male,1983
919854,5/22/2017 11:44,5/22/2017 12:08,1419,Montrose Harbor,Lake Shore Dr & Belmont Ave,Customer,,
602414,4/20/2017 8:18,4/20/2017 8:26,472,Canal St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1969
1047148,6/1/2017 7:00,6/1/2017 7:04,278,Sangamon St & Washington Blvd (*),Clinton St & Madison St,Subscriber,Male,1987
943779,5/24/2017 17:41,5/24/2017 18:02,1294,Racine Ave & Fullerton Ave,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1988
519940,4/12/2017 16:31,4/12/2017 17:03,1904,Clinton St & Roosevelt Rd,LaSalle St & Washington St,Customer,,
343187,3/14/2017 21:40,3/14/2017 21:53,773,Canal St & Adams St,Columbus Dr & Randolph St,Subscriber,Male,1955
954005,5/25/2017 17:12,5/25/2017 17:16,287,Canal St & Madison St,Desplaines St & Kinzie St,Subscriber,Male,1987
1245581,6/12/2017 13:36,6/12/2017 15:04,5246,Michigan Ave & Oak St,Streeter Dr & Grand Ave,Customer,,
748995,5/6/2017 20:28,5/6/2017 20:46,1097,Clark St & Randolph St,Dearborn St & Erie St,Customer,,
1300491,6/16/2017 0:03,6/16/2017 0:07,237,Wood St & Milwaukee Ave,Damen Ave & Division St,Subscriber,Male,1990
918044,5/22/2017 8:50,5/22/2017 9:01,652,Dearborn Pkwy & Delaware Pl,Clinton St & Washington Blvd,Subscriber,Male,1987
1516878,6/28/2017 18:26,6/28/2017 18:32,387,Daley Center Plaza,Clinton St & Lake St,Subscriber,Male,1988
1489599,6/27/2017 7:47,6/27/2017 7:53,381,Ogden Ave & Race Ave,Green St & Madison St,Subscriber,Male,1984
850260,5/16/2017 7:32,5/16/2017 7:56,1452,Broadway & Barry Ave,LaSalle St & Illinois St,Subscriber,Male,1993
1385684,6/21/2017 10:25,6/21/2017 10:42,1056,Desplaines St & Randolph St,State St & Harrison St,Subscriber,Male,1991
253396,2/23/2017 16:10,2/23/2017 16:27,987,McClurg Ct & Erie St,State St & Harrison St,Subscriber,Male,1988
120684,2/2/2017 17:51,2/2/2017 18:04,752,State St & Van Buren St,Fairbanks Ct & Grand Ave,Subscriber,Female,1998
803235,5/12/2017 16:52,5/12/2017 17:05,798,Franklin St & Lake St,Wells St & Evergreen Ave,Subscriber,Male,1991
555503,4/15/2017 19:21,4/15/2017 19:33,737,Southport Ave & Wrightwood Ave,Southport Ave & Waveland Ave,Subscriber,Female,1983
7325,1/3/2017 17:57,1/3/2017 18:06,523,Artesian Ave & Hubbard St,Damen Ave & Augusta Blvd,Subscriber,Male,1989
264023,2/26/2017 15:54,2/26/2017 16:49,3336,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,Customer,,
1316159,6/16/2017 23:30,6/16/2017 23:39,556,Fairbanks Ct & Grand Ave,Wacker Dr & Washington St,Subscriber,Male,1994
1647,1/1/2017 21:06,1/1/2017 21:10,268,Sedgwick St & Webster Ave,Halsted St & Wrightwood Ave,Subscriber,Male,1984
42280,1/16/2017 14:54,1/16/2017 15:09,865,Field Museum,Millennium Park,Subscriber,Male,1992
178170,2/15/2017 14:45,2/15/2017 14:59,843,State St & Van Buren St,Clinton St & 18th St,Subscriber,Male,1985
1204934,6/10/2017 9:59,6/10/2017 10:17,1116,Wells St & Polk St,Dusable Harbor,Subscriber,Male,1977
1135183,6/6/2017 8:06,6/6/2017 8:26,1223,Damen Ave & Foster Ave,Broadway & Granville Ave,Subscriber,Female,1992
1473181,6/26/2017 8:30,6/26/2017 10:38,7701,Lake Shore Dr & Monroe St,Wacker Dr & Washington St,Customer,,
128571,2/5/2017 12:17,2/5/2017 12:25,481,Lake Shore Dr & Wellington Ave,Broadway & Barry Ave,Subscriber,Male,1959
1068054,6/2/2017 11:51,6/2/2017 12:09,1051,Ogden Ave & Chicago Ave,Clark St & Elm St,Subscriber,Female,1982
1325099,6/17/2017 15:01,6/17/2017 15:20,1152,Wabash Ave & 8th St,MLK Jr Dr & 29th St,Subscriber,Male,1992
1521567,6/29/2017 7:39,6/29/2017 7:46,401,Canal St & Monroe St (*),Michigan Ave & Washington St,Subscriber,Male,1979
111009,1/31/2017 18:21,1/31/2017 18:28,442,Ravenswood Ave & Lawrence Ave,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1967
962850,5/26/2017 11:29,5/26/2017 11:44,898,Orleans St & Merchandise Mart Plaza,Bissell St & Armitage Ave,Subscriber,Male,1993
1544175,6/30/2017 15:47,6/30/2017 15:56,536,Clark St & Randolph St,Clark St & Elm St,Subscriber,Male,1988
1424947,6/23/2017 16:01,6/23/2017 16:24,1391,Hermitage Ave & Polk St,Ashland Ave & Augusta Blvd,Subscriber,Male,1993
461569,4/6/2017 13:37,4/6/2017 13:42,306,Desplaines St & Jackson Blvd,Wacker Dr & Washington St,Subscriber,Male,1964
1171313,6/8/2017 11:13,6/8/2017 11:30,1070,McClurg Ct & Erie St,Ritchie Ct & Banks St,Subscriber,Male,1969
533191,4/14/2017 12:00,4/14/2017 12:22,1327,St. Clair St & Erie St,Lake Shore Dr & Monroe St,Customer,,
325584,3/9/2017 13:08,3/9/2017 13:14,365,Financial Pl & Congress Pkwy,Michigan Ave & Jackson Blvd,Subscriber,Male,1955
769275,5/9/2017 12:58,5/9/2017 13:10,684,Franklin St & Chicago Ave,St. Clair St & Erie St,Subscriber,Male,1980
694437,4/28/2017 17:26,4/28/2017 17:31,339,Paulina St & Howard St,Ridge Blvd & Touhy Ave,Subscriber,Male,1977
1092892,6/3/2017 16:31,6/3/2017 16:39,487,Damen Ave & Cortland St,Humboldt Blvd & Armitage Ave,Subscriber,Female,1988
343559,3/15/2017 7:30,3/15/2017 7:36,359,Wood St & Milwaukee Ave,Marshfield Ave & Cortland St,Subscriber,Male,1989
580692,4/18/2017 7:58,4/18/2017 8:09,673,Clinton St & Madison St,Dearborn St & Erie St,Subscriber,Male,1971
18745,1/8/2017 13:23,1/8/2017 13:28,333,State St & Harrison St,Wells St & Polk St,Subscriber,Male,1954
794580,5/12/2017 5:51,5/12/2017 5:58,434,Ashland Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,Subscriber,Male,1990
1372380,6/20/2017 15:55,6/20/2017 16:03,474,Ogden Ave & Congress Pkwy,Ashland Ave & Grand Ave,Subscriber,Male,1984
862604,5/16/2017 19:21,5/16/2017 19:35,849,Oakley Ave & Irving Park Rd,Damen Ave & Clybourn Ave,Subscriber,Female,1955
273417,2/28/2017 7:39,2/28/2017 7:45,359,Kingsbury St & Kinzie St,Michigan Ave & Lake St,Subscriber,Male,1991
418094,3/29/2017 7:27,3/29/2017 7:33,362,LaSalle St & Illinois St,Fairbanks Ct & Grand Ave,Subscriber,Male,1989
1160651,6/7/2017 17:29,6/7/2017 17:46,987,Daley Center Plaza,Kingsbury St & Erie St,Subscriber,Male,1957
1314112,6/16/2017 19:41,6/16/2017 20:08,1621,Lake Shore Dr & Monroe St,Clinton St & 18th St,Customer,,
632189,4/23/2017 11:37,4/23/2017 12:53,4569,Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,Customer,,
543142,4/15/2017 11:38,4/15/2017 14:49,11482,State St & Pearson St,State St & Pearson St,Customer,,
564538,4/16/2017 16:59,4/16/2017 17:25,1582,Pine Grove Ave & Irving Park Rd,Lake Shore Dr & North Blvd,Subscriber,Male,1986
1447928,6/24/2017 17:27,6/24/2017 17:36,517,Wabash Ave & 16th St,Federal St & Polk St,Subscriber,Male,1988
1161837,6/7/2017 18:01,6/7/2017 18:24,1374,Franklin St & Monroe St,Cannon Dr & Fullerton Ave,Subscriber,Male,1988
994753,5/28/2017 17:34,5/28/2017 17:51,999,Halsted St & Roscoe St,Broadway & Ridge Ave,Subscriber,Male,1970
1509851,6/28/2017 8:42,6/28/2017 8:54,721,California Ave & Milwaukee Ave,Central Park Ave & North Ave,Subscriber,Male,1988
1404482,6/22/2017 11:04,6/22/2017 11:21,987,Ashland Ave & Division St,Damen Ave & Madison St,Customer,,
823105,5/14/2017 7:14,5/14/2017 7:19,279,Greenwood Ave & 47th St,Cottage Grove Ave & 47th St,Subscriber,Male,1966
575431,4/17/2017 16:50,4/17/2017 16:57,419,Michigan Ave & Washington St,Canal St & Adams St,Subscriber,Male,1981
746374,5/6/2017 15:36,5/6/2017 15:49,810,McClurg Ct & Erie St,Lake Shore Dr & North Blvd,Subscriber,Male,1993
863352,5/16/2017 20:04,5/16/2017 20:26,1292,Montrose Harbor,Halsted St & Wrightwood Ave,Subscriber,Male,1993
1181708,6/8/2017 19:24,6/8/2017 20:04,2381,Streeter Dr & Grand Ave,Clark St & Armitage Ave,Customer,,
298198,3/5/2017 13:21,3/5/2017 13:33,713,Kingsbury St & Kinzie St,Aberdeen St & Monroe St,Subscriber,Female,1988
1123292,6/5/2017 12:51,6/5/2017 13:08,1009,Wells St & Concord Ln,Franklin St & Monroe St,Subscriber,Female,1991
266375,2/27/2017 8:06,2/27/2017 8:13,434,Canal St & Adams St,Clark St & Lake St,Subscriber,Male,1979
77795,1/23/2017 18:50,1/23/2017 18:56,387,Indiana Ave & Roosevelt Rd,Michigan Ave & Washington St,Subscriber,Male,1990
559665,4/16/2017 11:57,4/16/2017 11:59,159,Wabash Ave & Grand Ave,LaSalle St & Illinois St,Subscriber,Male,1989
626308,4/22/2017 15:22,4/22/2017 15:28,359,Wilton Ave & Belmont Ave,Racine Ave & Belmont Ave,Customer,,
1271313,6/13/2017 21:45,6/13/2017 21:54,512,Franklin St & Jackson Blvd,Kingsbury St & Erie St,Subscriber,Male,1986
1163770,6/7/2017 19:17,6/7/2017 19:29,720,LaSalle St & Jackson Blvd,Dearborn St & Erie St,Subscriber,Male,1973
148057,2/9/2017 12:40,2/9/2017 12:44,251,Broadway & Berwyn Ave,Clark St & Berwyn Ave,Subscriber,Male,1987
657136,4/25/2017 8:47,4/25/2017 8:57,604,Kingsbury St & Erie St,McClurg Ct & Erie St,Subscriber,Male,1976
275028,2/28/2017 10:03,2/28/2017 10:16,795,Damen Ave & Augusta Blvd,Winchester Ave & Elston Ave,Subscriber,Male,1972
395402,3/24/2017 15:10,3/24/2017 15:19,555,Franklin St & Monroe St,Aberdeen St & Monroe St,Subscriber,Male,1987
854604,5/16/2017 12:48,5/16/2017 13:03,895,Wells St & Huron St,McClurg Ct & Illinois St,Customer,,
409936,3/27/2017 18:35,3/27/2017 18:43,514,Racine Ave & Belmont Ave,Broadway & Waveland Ave,Subscriber,Male,1965
975576,5/27/2017 14:44,5/27/2017 14:48,256,Millennium Park,Millennium Park,Customer,,
417778,3/29/2017 6:40,3/29/2017 6:53,809,Columbus Dr & Randolph St,Morgan St & Lake St,Subscriber,Male,1987
1509730,6/28/2017 8:38,6/28/2017 8:48,589,Sangamon St & Washington Blvd (*),Michigan Ave & Washington St,Subscriber,Male,1973
215696,2/19/2017 14:30,2/19/2017 14:34,275,Clark St & Randolph St,State St & Kinzie St,Subscriber,Male,1988
377052,3/21/2017 18:17,3/21/2017 18:32,877,Larrabee St & Oak St,Aberdeen St & Monroe St,Subscriber,Female,1985
1127445,6/5/2017 17:13,6/5/2017 17:35,1319,Cannon Dr & Fullerton Ave,Michigan Ave & Oak St,Customer,,
301682,3/6/2017 7:11,3/6/2017 7:17,336,Western Ave & Howard St,Paulina St & Howard St,Subscriber,Male,1977
1186684,6/9/2017 8:15,6/9/2017 8:22,434,Fairbanks Ct & Grand Ave,Millennium Park,Subscriber,Male,1965
221550,2/20/2017 8:15,2/20/2017 8:28,777,Woodlawn Ave & Lake Park Ave,University Ave & 57th St,Subscriber,Male,1965
16793,1/6/2017 20:23,1/6/2017 20:27,279,Sheffield Ave & Wellington Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1990
571747,4/17/2017 11:26,4/17/2017 11:43,1012,Wood St & Taylor St,Orleans St & Ohio St,Subscriber,Male,1986
711092,5/2/2017 16:44,5/2/2017 17:06,1307,Mies van der Rohe Way & Chicago Ave,Lake Shore Dr & Belmont Ave,Customer,,
393400,3/24/2017 12:29,3/24/2017 12:48,1166,Southport Ave & Wellington Ave,Lake Shore Dr & North Blvd,Subscriber,Female,1984
1454517,6/25/2017 8:38,6/25/2017 8:49,640,Burnham Harbor,Fort Dearborn Dr & 31st St,Subscriber,Male,1967
1212399,6/10/2017 14:53,6/10/2017 15:26,1963,Morgan St & Lake St,Green St & Randolph St,Customer,,
1094613,6/3/2017 17:30,6/3/2017 18:03,1932,Marshfield Ave & Cortland St,Albany Ave & Bloomingdale Ave,Customer,,
1081012,6/2/2017 23:57,6/3/2017 0:01,196,Lincoln Ave & Leavitt St,Leavitt St & Lawrence Ave,Subscriber,Male,1973
1309333,6/16/2017 16:31,6/16/2017 16:34,180,Canal St & Madison St,Canal St & Madison St,Subscriber,Female,1991
1191766,6/9/2017 13:38,6/9/2017 13:57,1184,Orleans St & Merchandise Mart Plaza,Sedgwick St & Webster Ave,Subscriber,Male,1956
1470562,6/26/2017 5:48,6/26/2017 5:55,415,Peoria St & Jackson Blvd,LaSalle St & Adams St,Subscriber,Male,1992
427496,3/31/2017 8:25,3/31/2017 8:39,796,Clinton St & Jackson Blvd,Racine Ave (May St) & Fulton St,Subscriber,Male,1983
835329,5/15/2017 7:40,5/15/2017 7:53,790,Canal St & Madison St,Columbus Dr & Randolph St,Subscriber,Male,1968
1085268,6/3/2017 11:38,6/3/2017 11:51,743,Fairbanks Ct & Grand Ave,Streeter Dr & Grand Ave,Customer,,
891684,5/18/2017 18:42,5/18/2017 18:47,262,Dayton St & North Ave,Bissell St & Armitage Ave,Subscriber,Male,1979
52837,1/18/2017 21:57,1/18/2017 22:25,1670,St. Louis Ave & Balmoral Ave,Kedzie Ave & Palmer Ct,Subscriber,Male,1978
812487,5/13/2017 12:53,5/13/2017 13:29,2124,St. Clair St & Erie St,Theater on the Lake,Customer,,
1258288,6/13/2017 8:24,6/13/2017 8:36,704,Canal St & Monroe St (*),Rush St & Hubbard St,Subscriber,Male,1969
598304,4/19/2017 17:27,4/19/2017 17:39,721,Calumet Ave & 21st St,Michigan Ave & Jackson Blvd,Subscriber,Female,1989
1218504,6/10/2017 19:16,6/10/2017 19:25,528,Canal St & Madison St,Peoria St & Jackson Blvd,Subscriber,Female,1990
899010,5/19/2017 18:55,5/19/2017 19:11,980,Rush St & Superior St,Canal St & Adams St,Subscriber,Female,1962
58222,1/20/2017 8:33,1/20/2017 8:38,274,Kedzie Ave & Palmer Ct,California Ave & Milwaukee Ave,Subscriber,Female,1988
413784,3/28/2017 13:39,3/28/2017 13:45,339,Canal St & Madison St,Michigan Ave & Madison St,Subscriber,Male,1988
56772,1/19/2017 17:20,1/19/2017 17:34,837,Western Ave & Winnebago Ave,Western Ave & Walton St,Subscriber,Male,1956
